부도확률(PD),부도_시_손실확률(LGD),부도_시_손실금액(EAD)(단위:십억원),기대신용손실(ECL)(단위:십억원),TIME_x,YEAR,경제성장률,실업률,기준금리,현재경기판단CSI,기업부도율,TIME_y,경제지표_반영된_부도확률(PD),경제지표_반영된_부도_시_손실확률(LGD),경제지표_반영된_부도_시_손실금액(EAD)(단위:십억원),경제지표_반영된_기대신용손실(Updated_ECL)(단위:십억원)
0.02,0.3617,44808.0,324.14107200000007,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,0.6292494900000001,78431.9232,1522.8438102079363
0.0241,0.8287,438377.0,8755.12077959,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.037181479999999996,1.44168939,767335.1008,41132.34217606806
0.03,0.5194,9783.0,152.438706,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,0.90360018,17124.1632,716.1707044277541
0.01,0.889,2240.0,19.913600000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,1.5465933,3920.8959999999997,93.55587772893142
0.0125,0.3312,21918.8,90.74383200000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.57618864,38366.667519999995,426.3226564381475
0.02,0.4564,8.0,0.07302399999999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,0.79399908,14.0032,0.34307329740867987
0.0241,0.9516,643.6,14.760039216,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.037181479999999996,1.65549852,1126.55744,69.34398723316372
0.03,0.3561,0.02,0.00021366,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,0.6195071700000001,0.035008,0.0010037938311286503
0.01,0.8656,0.15,0.0012984000000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,1.50588432,0.26255999999999996,0.006099999580349336
0.0125,0.3933,141.0,0.69319125,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.68422401,246.8064,3.25667462577159
0.02,0.7454,0.03,0.00044723999999999995,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,1.29677238,0.052511999999999996,0.0021011736077598867
0.0241,0.0948,45338.0,103.58282184,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.037181479999999996,0.16492356,79359.6352,486.64138151216895
0.03,0.593,441851.7,7860.541742999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,1.0316421,773417.21568,36929.529677771454
0.01,0.8199,9746.0,79.907454,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,1.42638003,17059.3984,375.4123812898829
0.0125,0.5128,2386.0,15.294260000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.8921181600000001,4176.4544,71.85380436056197
0.02,0.0903,23255.4,41.9992524,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,0.15709491,40706.252160000004,197.31625232207787
0.022799999999999997,0.7836,8.0,0.14292863999999997,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03517583999999999,1.3632289199999998,14.0032,0.6714915619376934
0.03,0.794,706.6,16.831212,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,1.3813218,1236.83264,79.07454261920113
0.01,0.3898,0.02,7.796e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,0.67813506,0.035008,0.0003662630678404454
0.0125,0.0657,0.16,0.0001314,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.11429829,0.280064,0.0006173289778634496
0.02,0.4511,111.0,1.0014420000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,0.78477867,194.2944,4.704864278915743
0.022799999999999997,0.0259,0.03,1.7715599999999997e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03517583999999999,0.04505823,0.052511999999999996,8.322947671413793e-05
0.03,0.577,50870.0,880.5596999999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,1.0038068999999998,89042.848,4136.948398392281
0.01,0.2519,515821.4,1299.3541066,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,0.43823043,902893.77856,6104.482058676208
0.0125,0.3655,10140.0,46.327125,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.63586035,17749.056,217.64898571995633
0.02,0.1742,2312.0,8.055008,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.030855999999999998,0.30305574,4046.9248,37.84314958388059
0.022799999999999997,0.1631,23446.4,87.18965875199999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03517583999999999,0.28374507,41040.57856,409.62483194547275
0.03,0.0191,11.0,0.006303,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.046284,0.03322827,19.2544,0.029612058960984188
0.01,0.1522,554.0,0.843188,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.015427999999999999,0.26478234,969.7216,3.9613728020298806
0.0125,0.3689,0.02,9.2225e-05,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.64177533,0.035008,0.00043328131646466235
0.0225,0.3883,0.11,0.0009610425,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.034713,0.6755255099999999,0.192544,0.004515063806760534
0.022400000000000003,0.8483,144.0,2.736276480000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03455872,1.4757875100000002,252.05759999999998,12.85527216552662
0.0325,0.2733,0.02,0.00017764499999999998,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.050141,0.47546001,0.035008,0.0008345921329722412
0.0125,0.4261,45810.0,243.99551250000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.74128617,80185.824,1146.3127879367848
0.0125,0.6431,496855.3,3994.0955428750003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,1.11880107,869695.51712,18764.618865844623
0.0225,0.9545,10846.0,232.93140749999998,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.034713,1.6605436500000001,18984.8384,1094.332630930515
0.022400000000000003,0.7627,2082.0,35.56988736,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03455872,1.32686919,3644.3328,167.11051907661215
0.0325,0.2646,22584.3,194.21368784999999,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.050141,0.46032462,39531.55872,912.433313603741
0.0125,0.0182,9.0,0.0020475000000000003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.03166254,15.753599999999999,0.009619338524927041
0.0125,0.2978,743.1,2.76618975,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.51808266,1300.72224,12.995807389222612
0.0225,0.0143,0.02,6.435e-06,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.034713,0.02487771,0.035008,3.023220679262784e-05
0.022400000000000003,0.4802,0.15,0.0016134720000000003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03455872,0.8354039400000001,0.26255999999999996,0.007580236077407121
0.0325,0.453,125.0,1.8403125000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.050141,0.7880841000000001,218.79999999999998,8.64595307895228
0.0125,0.416,0.03,0.000156,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.7237152,0.052511999999999996,0.000732901982851584
0.0125,0.5169,42633.0,275.46247125,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.89925093,74624.8032,1294.1473806430924
0.0225,0.0448,507011.3,511.06739039999997,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.034713,0.07793856,887472.5795199999,2401.0404089419526
0.026000000000000002,0.6288,11892.0,194.41992960000005,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.040112800000000004,1.09392336,20815.7568,913.4022558314448
0.0325,0.936,2244.0,68.26248000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.050141,1.6283592,3927.8976,320.7032496561961
0.0125,0.0734,26684.8,24.483304000000004,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,0.12769398,46709.073919999995,115.02475672024434
0.0125,0.733,10.0,0.09162500000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,1.2752001,17.503999999999998,0.430462462684464
0.025,0.8616,785.4,16.917516000000003,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03857,1.49892552,1374.76416,79.48000654694485
0.026000000000000002,0.9029,0.02,0.0004695080000000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.040112800000000004,1.5707751300000001,0.035008,0.0022057906677223175
0.035,0.1483,0.15,0.000778575,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.053998000000000004,0.25799751,0.26255999999999996,0.003657815136529948
0.015,0.3143,120.0,0.56574,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.023142,0.54678771,210.048,2.6578972293490715
0.0125,0.6157,0.03,0.00023088750000000002,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,1.0711332900000001,0.052511999999999996,0.0010847301702925968
0.025,0.8819,42446.0,935.8281850000001,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.03857,1.53424143,74297.47839999999,4396.604694839096
0.026000000000000002,0.4473,497834.6,5789.71683108,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.040112800000000004,0.77816781,871409.68384,27200.608625946934
0.035,0.7962,11729.0,326.85204300000004,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.053998000000000004,1.38514914,20530.4416,1535.5801949602
0.015,0.3498,2021.0,10.604187,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.023142,0.60854706,3537.5584,49.81942101813455
0.0125,0.9708,23706.4,287.677164,2010,2010,0.07,0.037000000000000005,2.5,104.0,0.02,2010,0.019285,1.6889007600000001,41495.68256,1351.5331020302588
0.0275,0.4125,10.0,0.1134375,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.046155999999999996,0.8130375,19.781,0.7423128606118499
0.0276,0.2892,869.7,6.941875824,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.04632384,0.5700132,1720.35357,45.42628055912448
0.0375,0.6486,0.02,0.0004864499999999999,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.06294,1.2783906,0.039562,0.003183233860448568
0.0175,0.2823,0.17,0.0008398425000000001,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.029372000000000002,0.5564133,0.336277,0.005495765409484585
0.0125,0.927,122.0,1.413675,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.02098,1.827117,241.3282,9.250813295651414
0.0275,0.0184,0.04,2.0240000000000003e-05,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.046155999999999996,0.036266400000000004,0.079124,0.0001324466097964416
0.0276,0.4297,40248.0,477.33001056,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.04632384,0.8469387,79614.5688,3123.5544294847664
0.0375,0.3925,487519.9,7175.683528125,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.06294,0.7736175000000001,964363.11419,46956.272543099076
0.0175,0.0788,12113.0,16.703827,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.029372000000000002,0.1553148,23960.7253,109.30658383281946
0.0125,0.0113,1830.0,0.2584875,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.02098,0.0222723,3619.923,1.6914917514702417
0.03,0.0088,22160.0,5.85024,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.050351999999999994,0.0173448,43834.695999999996,38.28282877942363
0.0276,0.9678,9.0,0.24040152,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.04632384,1.9075338000000002,17.8029,1.5731406281576805
0.04,0.915,814.1,29.79606,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.067136,1.803465,1610.37121,194.97960139779457
0.02,0.3207,0.02,0.00012827999999999998,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.033568,0.6320997,0.039562,0.0008394392838284353
0.015,0.0731,0.17,0.00018640500000000003,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.025175999999999997,0.14408010000000002,0.336277,0.0012197979396791352
0.03,0.1786,122.0,0.653676,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.050351999999999994,0.3520206,241.3282,4.277528167257844
0.0336,0.7467,0.03,0.0007526735999999999,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.05639423999999999,1.4717457,0.059343,0.004925349140478407
0.04,0.2698,40848.0,440.831616,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.067136,0.5317758,80801.4288,2884.7160588086354
0.02,0.5959,498392.5,5939.841815,2011,2011,0.037000000000000005,0.034,3.25,,0.02,2011,0.033568,1.1745189,985870.20425,38869.165569362274
