대손상각비(단위:백만원),투자_유형자산_처분손실(단위:백만원),기타영업외비용(단위:백만원),발생신용손실(단위:백만원)
5108,10624.0,71298.0,87030.0
1524,162.0,3442.0,5128.0
3584,10461.0,67855.0,81900.0
2855,4441.0,20876.0,28172.0
2483,930.0,5161.0,8574.0
373,3511.0,15715.0,19599.0
9281,11615.0,356625.0,377521.0
326,4623.0,270957.0,275906.0
8956,6992.0,85668.0,101616.0
3170740,2118889.0,24896318.0,30185947.0
1251965,1138622.0,18274863.0,20665450.0
1918775,980267.0,6621455.0,9520497.0
98076,51709.0,618273.0,768058.0
20397,17103.0,351694.0,389194.0
77679,34607.0,266579.0,378865.0
27436,13605.0,100492.0,141533.0
1386,1583.0,27518.0,30487.0
35633,21113.0,397097.0,453843.0
33620,15409.0,93166.0,142195.0
19899,26414.0,288522.0,334835.0
15051,19307.0,270839.0,305197.0
4847,7107.0,17682.0,29636.0
7960,20290.0,255307.0,283557.0
11939,6124.0,33215.0,51278.0
71980,50532.0,190780.0,313292.0
7316,6815.0,31164.0,45295.0
64664,43717.0,159616.0,267997.0
15063,18216.0,190573.0,223852.0
5251,446.0,4381.0,10078.0
1147,17770.0,186193.0,205110.0
4104,8137.0,24714.0,36955.0
464,1386.0,11738.0,13588.0
366,6751.0,12976.0,20093.0
98,10897.0,378913.0,389908.0
8740,3204.0,312863.0,324807.0
156,7693.0,66051.0,73900.0
8584,2005886.0,25739976.0,27754446.0
2538334,999880.0,19581974.0,23120188.0
781438,1006006.0,6158002.0,7945446.0
1756895,76968.0,495239.0,2329102.0
54902,27689.0,299903.0,382494.0
4080,49279.0,195336.0,248695.0
50822,14373.0,87465.0,152660.0
24816,2935.0,47136.0,74887.0
3270,37149.0,290650.0,331069.0
18781,22510.0,69988.0,111279.0
8034,25844.0,154656.0,188534.0
25147,19424.0,119810.0,164381.0
21052,6420.0,34846.0,62318.0
4095,19026.0,100183.0,123304.0
18146,6818.0,54473.0,79437.0
7002,49738.0,190679.0,247419.0
64134,6048.0,44475.0,114657.0
3898,43690.0,146204.0,193792.0
60236,11094.0,50218.0,121548.0
12797,475.0,3680.0,16952.0
2271,10618.0,46537.0,59426.0
36,3742.0,41696.0,45474.0
2235,162.0,13557.0,15954.0
281,3580.0,28138.0,31999.0
32,11139.0,131248.0,142419.0
249,553.0,80041.0,80843.0
6666,10586.0,51208.0,68460.0
137,2059084.0,30820494.0,32879715.0
6530,1096987.0,24712378.0,25815895.0
4240345,962097.0,6108116.0,11310558.0
2440419,75334.0,784887.0,3300640.0
1799926,26993.0,576511.0,2403430.0
91627,48340.0,208376.0,348343.0
37618,35101.0,119526.0,192245.0
54009,3609.0,67118.0,124736.0
22660,29564.0,523547.0,575771.0
1882,7059.0,74696.0,83637.0
38600,32215.0,307492.0,378307.0
28485,24829.0,274265.0,327579.0
17068,7387.0,33227.0,57682.0
15060,23371.0,246706.0,285137.0
2008,8844.0,60785.0,71637.0
13982,35792.0,209050.0,258824.0
3086,4493.0,28880.0,36459.0
121299,31298.0,180170.0,332767.0
18845,37851.0,52785.0,109481.0
102454,3114.0,5729.0,111297.0
25168,34737.0,47056.0,106961.0
7806,9168.0,14686.0,31660.0
233,189.0,4584.0,5006.0
7573,8979.0,10102.0,26654.0
6037,15906.0,220292.0,242235.0
2430,1268.0,155618.0,159316.0
3607,14638.0,64674.0,82919.0
31083,2528815.0,31886104.0,34446002.0
17486,1369424.0,25314180.0,26701090.0
13597,1159391.0,6571924.0,7744912.0
3510926,82458.0,762065.0,4355449.0
1572020,32290.0,518504.0,2122814.0
1938906,50168.0,243561.0,2232635.0
114060,34009.0,311936.0,460005.0
26962,6095.0,71980.0,105037.0
87098,35457.0,272577.0,395132.0
35946,6898.0,105572.0,148416.0
4011,35541.0,160085.0,199637.0
42449,20448.0,96637.0,159534.0
31653,15093.0,63448.0,110194.0
11649,19124.0,92751.0,123524.0
9729,16417.0,67334.0,93480.0
1920,71309.0,207979.0,281208.0
7400,6410.0,31272.0,45082.0
4249,64899.0,176708.0,245856.0
70683,162.0,3442.0,74287.0
2309,162.0,3442.0,5913.0
68374,162.0,3442.0,71978.0
7845,162.0,3442.0,11449.0
